model,train_schedule,target_schedule,config,window,n,mae,rmse,mape,r2,signed_bias,max_abs_error,endpoint_abs_diff,model_baseline,config_baseline,n_baseline,mae_baseline,rmse_baseline,mape_baseline,r2_baseline,signed_bias_baseline,max_abs_error_baseline,endpoint_abs_diff_baseline,mae_improvement,rmse_improvement,relative_mae_improvement_pct
circular_shift_25pct,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_20000_30000,5001,0.05513758666361584,0.06821480920575544,0.019999084616528696,-1.0285325449261662,0.036600802702072194,0.22402399423068386,0.08143240573696442,momentum_baseline,none,5001,0.0436192102526355,0.053749528471638316,0.015873547603660113,-0.25942978375884795,0.035600683440698465,0.17018541155138633,0.0826127090682327,-0.011518376410980337,-0.014465280734117125,-26.406659690232217
circular_shift_25pct,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_20000_27125,3563,0.05391962953876492,0.06690741123227886,0.01944694181999708,-1.6799264332648018,0.03352518629295111,0.22402399423068386,0.007081299477266434,momentum_baseline,none,3563,0.042761045187581975,0.05272824397735781,0.015476739415153028,-0.6644127558613102,0.03406169891142533,0.16587010553148218,0.02707568086042933,-0.011158584351182943,-0.014179167254921056,-26.09520955868369
circular_shift_25pct,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_27126_30000,1438,0.05815537611830555,0.07135107065122223,0.02136715470278889,-1.460292028422491,0.04422140163510309,0.2180103036626173,0.08143240573696442,momentum_baseline,none,1438,0.0457455260570762,0.056200108179740284,0.01685673785098332,-0.5263705356798856,0.0394138975420894,0.17018541155138633,0.0826127090682327,-0.012409850061229348,-0.015150962471481948,-27.12800820291303
circular_shift_25pct,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_27126_33906,3391,0.051579825671407085,0.06446273476782997,0.01915900673122219,-0.4659026962331212,0.027017639312746082,0.2180103036626173,0.11771583169447064,momentum_baseline,none,3391,0.03875375885797014,0.04864293911703619,0.014418538275770503,0.16530596920383311,0.02352986631881083,0.17018541155138633,0.04566822982802332,-0.012826066813436947,-0.015819795650793785,-33.096316825533236
circular_shift_25pct,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_30000_33906,1954,0.04675598280417351,0.058891673939321015,0.017539911172973544,-0.9997086127723727,0.014384785959048458,0.19399414147262917,0.11771583169447064,momentum_baseline,none,1954,0.033630779184426494,0.04225317405807368,0.01263279591642764,-0.029384434072413423,0.011870626781285157,0.1463478837697627,0.04566822982802332,-0.013125203619747013,-0.016638499881247333,-39.02735511351143
circular_shift_25pct,cosine,wsd,spline_s0.01_shrink1_clip0.15,last_512_sampled,512,0.04585475961429032,0.05822516391576111,0.01726725288242665,-1.0727686738813578,0.004443166250268352,0.18834978702198368,0.11771583169447064,momentum_baseline,none,512,0.032466789435841165,0.04040861527782263,0.012218656617885779,0.0016626177046190627,0.0014885610279139413,0.13557383403272016,0.04566822982802332,-0.013387970178449157,-0.01781654863793848,-41.23589184851686
circular_shift_25pct,cosine,wsd,spline_s0.01_shrink1_clip0.15,last_2048_sampled,2048,0.046844087098054314,0.05905421753529051,0.017566878696359617,-0.9880657627382163,0.015504919197969667,0.19399414147262917,0.11771583169447064,momentum_baseline,none,2048,0.033818500438614396,0.042537748476090195,0.01269955594350467,-0.03152059913986127,0.012689153799092266,0.16124220174539472,0.04566822982802332,-0.013025586659439918,-0.016516469059200317,-38.516156809150345
reverse_time,cosine,wsd,spline_s0.01_shrink1_clip0.15,full,16454,0.049905084610900576,0.06257896963179753,0.017590598190939763,0.8708799537295357,0.020314308571245995,0.24467591571371017,0.08653451714225424,momentum_baseline,none,16454,0.03772038950173981,0.04727466039406645,0.013381652377841665,0.9263125221222073,0.02083323488154805,0.19079639100935175,0.04566822982802332,-0.012184695109160766,-0.01530430923773108,-32.30267574145479
reverse_time,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_1000_10000,4501,0.04942349326084442,0.06222592155078837,0.016243222403997754,0.9141235300846026,0.0031952246224252784,0.24231070344432482,0.0744967757517907,momentum_baseline,none,4501,0.03326441592472226,0.04171065695453741,0.010977458082824266,0.9614143722790454,0.0054929906229494825,0.18717473933624573,0.0076273795741998995,-0.01615907733612216,-0.020515264596250957,-48.577667417008996
reverse_time,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_10000_20000,5001,0.050419007251365416,0.06302210107158317,0.017915058927963207,-0.9648305998783235,0.026031398090162312,0.24467591571371017,0.0007876991551087897,momentum_baseline,none,5001,0.03742600706816247,0.04692632628320789,0.013345149718597528,-0.08936262092406966,0.023379090570603552,0.19079639100935175,0.0032814745857896455,-0.012993000183202943,-0.016095774788375275,-34.716501174008
