model_class,config,feature_set,step_template,ridge_alpha,event_shrink,step_shrink,residual_clip,train_full_mae,validation_full_mae,validation_tail_mae,validation_last2048_mae,validation_full_tail_score,validation_endpoint_abs_diff,step_smoothing,step_rolling_window,selected_by_811_full,selected_by_811_full_plus_tail
event_decay_only,linear_endpoint_ridge0.01_shrink0.5_clip0.15,linear_endpoint,none,0.01,0.5,,0.15,0.03228956601357458,0.03680691483721734,0.03426751657794165,0.03300072338523542,0.03528385706903825,0.06156112917318657,,,False,False
event_decay_only,linear_endpoint_ridge0.01_shrink0.5_clip0.25,linear_endpoint,none,0.01,0.5,,0.25,0.03228956601357458,0.03680691483721734,0.03426751657794165,0.03300072338523542,0.03528385706903825,0.06156112917318657,,,False,False
event_decay_only,linear_endpoint_ridge0.0001_shrink0.5_clip0.15,linear_endpoint,none,0.0001,0.5,,0.15,0.032289544389080244,0.03689268573796709,0.034263507526859194,0.03300114709794246,0.0353256245466298,0.0615617772343775,,,False,False
event_decay_only,linear_endpoint_ridge0.0001_shrink0.5_clip0.25,linear_endpoint,none,0.0001,0.5,,0.25,0.032289544389080244,0.03689268573796709,0.034263507526859194,0.03300114709794246,0.0353256245466298,0.0615617772343775,,,False,False
event_decay_only,linear_endpoint_ridge1e-06_shrink0.5_clip0.15,linear_endpoint,none,1e-06,0.5,,0.15,0.03228954417093496,0.03689355809189735,0.034263467284613,0.033001151504869985,0.03532604953230657,0.06156178375364174,,,False,False
event_decay_only,linear_endpoint_ridge1e-06_shrink0.5_clip0.25,linear_endpoint,none,1e-06,0.5,,0.25,0.03228954417093496,0.03689355809189735,0.034263467284613,0.033001151504869985,0.03532604953230657,0.06156178375364174,,,False,False
event_decay_only,drop_impulse_ridge10_shrink0.5_clip0.15,drop_impulse,none,10.0,0.5,,0.15,0.032335819477872375,0.03709164089439638,0.04615459844135487,0.03735919212930112,0.039864038405464874,0.0581437412540593,,,False,False
event_decay_only,linear_endpoint_ridge1_shrink0.75_clip0.15,linear_endpoint,none,1.0,0.75,,0.15,0.03228145782690711,0.03710301850506486,0.034492822238949596,0.033463693477687996,0.035592094619754905,0.06309990376891328,,,False,False
event_decay_only,linear_endpoint_ridge1_shrink0.75_clip0.25,linear_endpoint,none,1.0,0.75,,0.25,0.03228145782690711,0.03710301850506486,0.034492822238949596,0.033463693477687996,0.035592094619754905,0.06309990376891328,,,False,False
event_decay_only,event_tail_interactions_ridge10_shrink1_clip0.15,event_tail_interactions,none,10.0,1.0,,0.15,0.03229417624119167,0.03722363847353547,0.03708498325141174,0.03749578104677234,0.03723647042154573,0.07193021707879987,,,False,False
event_decay_only,event_tail_interactions_ridge10_shrink1_clip0.25,event_tail_interactions,none,10.0,1.0,,0.25,0.03229417624119167,0.03722363847353547,0.03708498325141174,0.03749578104677234,0.03723647042154573,0.07193021707879987,,,False,False
