method,correction,feature_set,schedule,window,n,mae,rmse,mape,r2,max_abs_error,endpoint_abs_diff,residual_mean
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink1,811,steps_20000_30000,5001,0.03893134981341672,0.048510590112258126,0.014141280166000783,0.23231193550006923,0.16172630174162483,0.02825053191267779,-0.01920370903280718
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink1,cosine,full,16454,0.032333955876369315,0.04038840237581069,0.011484053113814407,0.9531690162810348,0.17798594491423092,0.04390487399539911,0.00031907375015165104
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink1,cosine,steps_20000_30000,5001,0.03202132457601395,0.040003757214225624,0.01181025450628227,0.22906101180634508,0.1359774993218661,0.05405151738169556,0.0023744996940149653
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink1,wsd,full,16454,0.03679604534739692,0.04611006817083648,0.013030220334468727,0.9298983265830202,0.18948666625382726,0.06726756434668779,-0.01629044342734171
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink1,wsd,steps_20000_30000,5001,0.041255240730932334,0.05119971570014036,0.01499858211791683,-0.14277239540897102,0.16458470208647347,0.0637597245486008,-0.0312680745173926
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink1.25,811,full,16454,0.03702954683830881,0.04625386746567854,0.013095729712998544,0.931710893196137,0.18181804199711404,0.09210550030078801,-0.005337583466113923
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink1.25,811,steps_20000_30000,5001,0.03922571955086352,0.0487466212725984,0.014245105611665141,0.22482329766717257,0.16140504258480215,0.021742745971685018,-0.017268985695093938
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink1.25,cosine,full,16454,0.03233678758767889,0.04038724342750972,0.01148418665112516,0.9531717038798063,0.17843173127828393,0.04455275649605639,0.0005053181818840268
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink1.25,cosine,steps_20000_30000,5001,0.03202216141695145,0.040004195256967134,0.011810175323609359,0.22904412808839536,0.13562172357140234,0.05368385005470877,0.002466602689505676
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink1.25,wsd,full,16454,0.03676293166473605,0.04604228545283008,0.01301593012915764,0.9301042768067274,0.189159328504529,0.0726399171295613,-0.015158632210312922
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink1.25,wsd,steps_20000_30000,5001,0.040808224044928086,0.050701042557546226,0.01483230282516197,-0.12062013558541929,0.16426344292965078,0.05906685904223252,-0.030187823016913733
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink0.25,811,full,16454,0.04379238761649075,0.0551233530448975,0.015596988803772596,0.9030100840409124,0.21868805726446183,0.12910989139491358,0.00032653244567219737
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink0.25,811,steps_20000_30000,5001,0.04760004669564766,0.05857698101952638,0.017301533460807955,-0.11934932857269631,0.19336960569308204,0.02158408565871861,-0.006873808759396816
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink0.25,cosine,full,16454,0.032313395474268605,0.040375591051325474,0.011479455138826361,0.953198721430901,0.17519007913229956,0.04281206714329988,-0.00025227503882263575
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink0.25,cosine,steps_20000_30000,5001,0.03199669890895354,0.03998199647793432,0.011803790922969893,0.22989951490377836,0.13686739980240814,0.05495035472179888,0.0017805480828414395
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink0.25,wsd,full,16454,0.03918638602420708,0.048885144999164055,0.013896919257299032,0.9212064492328133,0.1928356161150946,0.09768343005893154,-0.0132118310506893
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink0.25,wsd,steps_20000_30000,5001,0.04175610690576032,0.05175926279601188,0.015155292683558511,-0.16788695190880554,0.16787146266015673,0.03005870901118568,-0.027129403229591707
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink0.5,811,full,16454,0.0583529979246201,0.07883977407491231,0.02100979733781929,0.8015979883672961,0.2878436377272213,0.197987519336134,0.013441704655677372
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink0.5,811,steps_20000_30000,5001,0.0673935554573995,0.08694779181170031,0.024596575550949955,-1.4662028019182292,0.26879775947455764,0.0954662614598738,0.012621230937661586
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink0.5,cosine,full,16454,0.032296044591461286,0.04034970630670318,0.011472509744066708,0.9532587106860975,0.17417764554283188,0.044311521316697355,-7.852616060655433e-05
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink0.5,cosine,steps_20000_30000,5001,0.031972300667641444,0.0399597068397291,0.011795840170827477,0.2307579250863262,0.13633383103527486,0.05437814023723009,0.001555042965255288
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink0.5,wsd,full,16454,0.04656018475878842,0.058710908093511684,0.016621280972413464,0.8863486883811611,0.23871813788474627,0.1486807297205175,-0.0057621756645728035
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink0.5,wsd,steps_20000_30000,5001,0.04720582551877578,0.05767244666440805,0.017127590036421985,-0.44997793811573605,0.19035669466984872,0.02148348499472652,-0.01881656102472625
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink0.75,811,full,16454,0.07316505620122833,0.10662492380885105,0.026517573986391117,0.6371118415937356,0.35514636035088065,0.2650271056111868,0.026145787837492558
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink0.75,811,steps_20000_30000,5001,0.08821759614306239,0.12078397184587623,0.032280398752484736,-3.7591597919705046,0.34205611803268665,0.16726591725118478,0.03152059409156828
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink0.75,cosine,full,16454,0.032288964727721296,0.040335953910724046,0.01146912077082729,0.9532905669365853,0.17316490729464507,0.04581013332839534,9.50533262904515e-05
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink0.75,cosine,steps_20000_30000,5001,0.03195218276108186,0.03994194952679951,0.011789464335799662,0.23144144547609813,0.13580036847303623,0.0538060479310043,0.0013294710835162545
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink0.75,wsd,full,16454,0.05562794511829353,0.07318675329108085,0.019981865846864486,0.823395478033673,0.28878062303986685,0.1986800484048321,0.0015189411127033434
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink0.75,wsd,steps_20000_30000,5001,0.0560138823187509,0.06919475067515848,0.020346527234024116,-1.0872330350488526,0.24024188956089576,0.0720333529412085,-0.010659515872204523
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink1,811,full,16454,0.08768893683529133,0.13538732422284933,0.03191645908674262,0.41492527248500355,0.42064586801529025,0.33027769948711994,0.03845024023642545
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink1,811,steps_20000_30000,5001,0.10869100029779953,0.1557683070395614,0.0398346008532016,-6.915345436527077,0.4132070985296985,0.23704175311212827,0.04984140787124697
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink1,cosine,full,16454,0.03229128714341222,0.04033434093061314,0.011468914127148209,0.9532943025556952,0.17215186429606177,0.04730790365139015,0.00026846345053920895
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink1,cosine,steps_20000_30000,5001,0.03193611957220293,0.03992873248400592,0.011784578345709049,0.23195000305728497,0.13582181676833605,0.053234077777033484,0.0011038324284028717
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink1,wsd,full,16454,0.0649367464548438,0.08983167065620405,0.023431410794704306,0.7339300611086923,0.3378628948825013,0.2477009158916399,0.008634668014126701
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink1,wsd,steps_20000_30000,5001,0.06572692610594817,0.08380783534794206,0.023902825563369718,-2.0619203504669232,0.28918319724318753,0.12160999977765607,-0.002655672440663498
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink1.25,811,full,16454,0.10190443950510804,0.16413689138724522,0.03719870933623297,0.1400608187985306,0.4843904735384532,0.3937870413212652,0.05036619840477565
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink1.25,811,steps_20000_30000,5001,0.1287159013755137,0.19065149558673386,0.04722283861020227,-10.857471955697026,0.4823113226117761,0.30485081454056084,0.06760030247491838
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink1.25,cosine,full,16454,0.03230231688562828,0.040344863492263586,0.011471687978043852,0.953269929890775,0.17137318912964483,0.04880483275841252,0.0004417042407885562
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink1.25,cosine,steps_20000_30000,5001,0.031922550365843926,0.039920062120584285,0.011780609565551568,0.23228352476799974,0.13586580506597024,0.05266222974923629,0.0008781269906911976
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink1.25,wsd,full,16454,0.0742371525514859,0.10743072371601808,0.026876066746560165,0.6194656554472658,0.3859841457906352,0.29576247977677017,0.01558809384021774
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge1e-06_shrink1.25,wsd,steps_20000_30000,5001,0.07565010005191236,0.09997291814644274,0.027537240802149515,-3.3570182631654317,0.3371984771851455,0.1702321626317307,0.0051975197806693775
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge0.0001_shrink0.25,811,full,16454,0.04378384937300429,0.05511117824110272,0.0155938201739743,0.9030529226103919,0.21864419793565837,0.12906621496381998,0.0003184355980687545
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta1_ridge0.0001_shrink0.25,811,steps_20000_30000,5001,0.04758907285527788,0.05856301363951643,0.017297501099388195,-0.11881558602756992,0.1933216439210983,0.021537128630772173,-0.006885998348796939
