train_schedules,target_schedule,split,model,feature_set,feature_transform,window,n,mae,rmse,r2,signed_bias,max_abs_error,endpoint_abs_diff,log_residual_mae,full_wsd_step_base_mae
cosine,811,test,step_base_for_leftover,linear_endpoint,circular_shift_25pct,early_decay_27126_30000,1438,0.03650314566886008,0.046527148555533734,-0.26806076593875594,0.0212654301986819,0.15140783820472947,0.0408220760280229,0.013424577350893582,0.03510190775981406
cosine,811,test,step_base_for_leftover,linear_endpoint,circular_shift_25pct,endpoint_30000_33906,1954,0.02981377868365753,0.03732034421878265,0.17232586448558695,-0.008073532086243892,0.13043954365857502,0.04258838275006971,0.011165846738993429,0.03510190775981406
cosine,811,test,step_base_for_leftover,linear_endpoint,circular_shift_25pct,last_2048_sampled,2048,0.029666542356695698,0.037143949221479455,0.18747877664824264,-0.007739874879757083,0.13043954365857502,0.04258838275006971,0.011106793893996724,0.03510190775981406
cosine,811,test,step_base_for_leftover,linear_endpoint,circular_shift_25pct,last_512_sampled,512,0.03189328804228746,0.03987028081137115,0.024068170155387203,-0.015191393883371242,0.12310543134771601,0.04258838275006971,0.011973713168931338,0.03510190775981406
cosine,wsd,test,step_base_for_leftover,linear_endpoint,circular_shift_25pct,full,16454,0.03510190775981406,0.04393848361428093,0.9363458114839364,0.020332886407752264,0.17688525548034217,0.02987619851909029,0.012370126535484638,0.03510190775981406
cosine,wsd,test,step_base_for_leftover,linear_endpoint,circular_shift_25pct,pre_tail_1000_27125,13063,0.03489322414639745,0.04366410189324118,0.9362772120439756,0.020039908436447568,0.17688525548034217,0.02808876453252651,0.012144073785108832,0.03510190775981406
cosine,wsd,test,step_base_for_leftover,linear_endpoint,circular_shift_25pct,tail_27126_33906,3391,0.035905810455792025,0.04497983190924715,0.28628742660235884,0.021461512547284334,0.1639626837676733,0.02987619851909029,0.01324093959303673,0.03510190775981406
cosine,wsd,test,step_base_for_leftover,linear_endpoint,circular_shift_25pct,early_decay_27126_30000,1438,0.0440697955258711,0.053353470899785135,-0.3756597360935865,0.039432578736109856,0.1639626837676733,0.06882951088667699,0.016042267062729283,0.03510190775981406
cosine,wsd,test,step_base_for_leftover,linear_endpoint,circular_shift_25pct,endpoint_30000_33906,1954,0.02991456847506386,0.0376644008243782,0.18206075700920754,0.008260373764688782,0.13121169609762084,0.02987619851909029,0.011185729702540366,0.03510190775981406
cosine,wsd,test,step_base_for_leftover,linear_endpoint,circular_shift_25pct,last_2048_sampled,2048,0.030118075525186146,0.037921612841650756,0.18021020605923532,0.009133742093415427,0.1320494755416881,0.02987619851909029,0.011255377613119353,0.03510190775981406
cosine,wsd,test,step_base_for_leftover,linear_endpoint,circular_shift_25pct,last_512_sampled,512,0.029392682110346673,0.036926215592009065,0.16632073744611486,-0.0015668194231679361,0.11097868263092137,0.02987619851909029,0.011048404459513907,0.03510190775981406
cosine,cosine,train,step_plus_event_leftover,linear_endpoint,circular_shift_25pct,full,16454,0.028919112445752616,0.03625563455916889,0.9622626887969222,-0.00025939119859017597,0.15875057160720507,0.025755274254299465,0.010270873112059823,0.03510190775981406
cosine,cosine,train,step_plus_event_leftover,linear_endpoint,circular_shift_25pct,pre_tail_1000_27125,13063,0.029080136248778136,0.036407001239743095,0.9634250568015376,-0.00024339766716873612,0.15875057160720507,0.00845675180660832,0.01019162528255983,0.03510190775981406
cosine,cosine,train,step_plus_event_leftover,linear_endpoint,circular_shift_25pct,tail_27126_33906,3391,0.028298807538963366,0.035666528032519296,0.23381328233100984,-0.0003210023755168256,0.12244390919518322,0.025755274254299465,0.010576156036494613,0.03510190775981406
cosine,cosine,train,step_plus_event_leftover,linear_endpoint,circular_shift_25pct,early_decay_27126_30000,1438,0.028135987945409485,0.03546662042800447,0.21437445234486407,-0.0007717966794306794,0.11783033797188214,0.041050394803123336,0.010477990760767036,0.03510190775981406
