coordinate,coordinate_group,target_schedule,train_x_min,train_x_max,target_x_min,target_x_max,train_x_range,target_x_range,frac_below_train,frac_above_train,frac_outside_train,max_extrapolation,normalized_max_extrapolation,full_mae,inside_support_loss_mae,outside_support_loss_mae,n_inside_support,n_outside_support,verdict
softsign_lr_time_hl4096_epslr_1e-04,sujianlin_softsign,811,909.4358744933388,20714.94117201076,909.9999999999931,26192.070698437306,19805.505297517422,25282.070698437314,0.0,0.3379725294761152,0.3379725294761152,5477.129526426546,0.2765458110838047,0.03540082625365887,0.034633954427760245,0.03690299039671112,10893,5561,large_support_mismatch
softsign_lr_time_hl64_epslr_1e-03,sujianlin_softsign,811,500.3018440883115,11029.797808232897,500.5,14671.840059941533,10529.495964144586,14171.340059941533,0.0,0.36003403427737934,0.36003403427737934,3642.0422517086354,0.3458895149502547,0.035376683763069516,0.03455984660407211,0.036828624222934925,10530,5924,large_support_mismatch
softsign_lr_time_hl512_epslr_1e-03,sujianlin_softsign,811,500.22033014469775,10909.468249599135,500.5,14574.343060001413,10409.247919454438,14073.843060001413,0.0,0.3673878692111341,0.3673878692111341,3664.874810402278,0.35207873217745006,0.03536668237994414,0.03455745704161259,0.03676010281777592,10409,6045,large_support_mismatch
effective_update_hl64_epslr2_1e-06,sujianlin_update_rms,811,707.5336109420488,14959.681859904584,707.8138879677391,20531.4245497586,14252.148248962534,19823.610661790863,0.0,0.387504558162149,0.387504558162149,5571.742689854018,0.39094055103304204,0.03532407206487924,0.034498695479142846,0.036628674516424306,10078,6376,large_support_mismatch
effective_update_hl512_epslr2_1e-06,sujianlin_update_rms,811,707.4183694516204,14850.677406490644,707.8138879677391,20466.70877476661,14143.259037039024,19758.89488679887,0.0,0.3921842713018111,0.3921842713018111,5616.031368275964,0.39708184327024204,0.03531460680188615,0.03448344323642916,0.036602762205285404,10001,6453,large_support_mismatch
softsign_lr_time_hl4096_epslr_1e-03,sujianlin_softsign,811,500.18433138380254,10187.961198458741,500.5,14335.059023421147,9687.77686707494,13834.559023421147,0.0,0.4112070013370609,0.4112070013370609,4147.097824962406,0.4280752830979015,0.03529420155119158,0.03438491192008129,0.03659618173833266,9688,6766,large_support_mismatch
effective_update_hl4096_epslr2_1e-06,sujianlin_update_rms,811,707.3674649896109,14209.490634676358,707.8138879677391,20265.275468582837,13502.123169686747,19557.461580615098,0.0,0.4197155706819011,0.4197155706819011,6055.7848339064785,0.44850611698626464,0.035282410402671764,0.03433345670468613,0.03659440141170257,9548,6906,large_support_mismatch
s1_raw,control_s1,811,1.0003554644952564,18.649300036322675,1.0010000000000006,28.537328354574257,17.648944571827418,27.536328354574255,0.0,0.4636562537984685,0.4636562537984685,9.888028318251582,0.560261735652771,0.035185829841645824,0.03394713879082121,0.03661871075965961,8825,7629,large_support_mismatch
sqrt_cum_lr2,sujianlin_noise,811,0.03161821747443988,0.11700618049446344,0.03163858403911299,0.16582822437694417,0.08538796302002356,0.13418964033783118,0.0,0.6143794821927798,0.6143794821927798,0.04882204388248072,0.5717672861107121,0.03497076095651772,0.033057213939483125,0.036171815049215766,6345,10109,large_support_mismatch
step_abs,control_step,wsd,1000.0,33906.0,1000.0,33906.0,32906.0,32906.0,0.0,0.0,0.0,0.0,0.0,0.02076747763849802,0.02076747763849802,,16454,0,no_coordinate_support_problem
effective_update_hl64_epslr2_1e-12,sujianlin_update_rms,wsd,1000.8516499253492,33694.35227643008,1000.9994995003926,33695.05153123574,32693.50062650473,32694.052031735344,0.0,6.077549532028686e-05,6.077549532028686e-05,0.6992548056587111,2.138819007628149e-05,0.03769523483923285,0.03769463012151552,0.04764465544245189,16453,1,mostly_inside_cosine_support
effective_update_hl64_epslr2_0,sujianlin_update_rms,wsd,1000.8521508484524,33694.64018825995,1001.0,33695.13125230082,32693.7880374115,32694.131252300816,0.0,6.077549532028686e-05,6.077549532028686e-05,0.4910640408634208,1.502010229899014e-05,0.03769524013670912,0.03769463541931376,0.04764465544245189,16453,1,mostly_inside_cosine_support
softsign_lr_time_hl64_epslr_0,sujianlin_softsign,wsd,1000.8521508484524,33694.64018825995,1001.0,33695.13125230082,32693.7880374115,32694.131252300816,0.0,6.077549532028686e-05,6.077549532028686e-05,0.4910640408634208,1.502010229899014e-05,0.03769524013670912,0.03769463541931376,0.04764465544245189,16453,1,mostly_inside_cosine_support
effective_update_hl64_epslr2_1e-10,sujianlin_update_rms,wsd,1000.8020622608607,33665.97653280731,1000.9499537534106,33687.18237607463,32665.17447054645,32686.232422321216,0.0,0.0007293059438434423,0.0007293059438434423,21.205843267314776,0.0006491881219381108,0.037694659855438115,0.03770078065403223,0.02930814564840889,16442,12,mostly_inside_cosine_support
effective_update_hl512_epslr2_0,sujianlin_update_rms,wsd,1000.5258878397974,32160.40479476634,1001.0,32243.945598891118,31159.87890692654,31242.945598891118,0.0,0.003585754223896925,0.003585754223896925,83.54080412477924,0.0026810375089811062,0.03763665764632493,0.03763697912127963,0.03754732575001462,16395,59,mostly_inside_cosine_support
softsign_lr_time_hl512_epslr_0,sujianlin_softsign,wsd,1000.5258878397974,32160.40479476634,1001.0,32243.945598891118,31159.87890692654,31242.945598891118,0.0,0.003585754223896925,0.003585754223896925,83.54080412477924,0.0026810375089811062,0.03763665764632493,0.03763697912127963,0.03754732575001462,16395,59,mostly_inside_cosine_support
effective_update_hl512_epslr2_1e-12,sujianlin_update_rms,wsd,1000.5253874067109,32160.169644433834,1000.9994995003926,32243.905292351406,31159.644257027125,31242.905792851016,0.0,0.0036465297192172117,0.0036465297192172117,83.73564791757235,0.0026873107801507804,0.03763665924121414,0.0376372289586102,0.03748099345802976,16394,60,mostly_inside_cosine_support
effective_update_hl512_epslr2_1e-10,sujianlin_update_rms,wsd,1000.4758482477588,32136.983542361075,1000.9499537534106,32239.919954485234,31136.507694113316,31238.970000731824,0.0,0.004436611158380941,0.004436611158380941,102.93641212415969,0.003305971663084775,0.03763605240285514,0.03763606334523084,0.037633596963727846,16381,73,mostly_inside_cosine_support
softsign_lr_time_hl64_epslr_1e-05,sujianlin_softsign,wsd,990.9378499737811,32692.83686361017,991.0891089108799,33190.44422940166,31701.89901363639,32199.35512049078,0.0,0.01701713868968032,0.01701713868968032,497.60736579149307,0.015696452934174387,0.03767558565843457,0.037757613203351054,0.03293732311743713,16174,280,mostly_inside_cosine_support
s1_ratio,control_s1,wsd,0.05364037591474717,1.0,0.03361693113283473,1.0,0.9463596240852529,0.9663830688671653,0.018171873100765772,0.0,0.018171873100765772,0.02002344478191244,0.021158388705844265,0.03760640062267413,0.03769424439030893,0.03286019304361008,16155,299,mostly_inside_cosine_support
softsign_lr_time_hl512_epslr_1e-05,sujianlin_softsign,wsd,990.6180196605959,31273.31815051592,991.0891089108799,31839.831440830458,30282.700130855323,30848.742331919577,0.0,0.025829585511121914,0.025829585511121914,566.5132903145386,0.01870748935420435,0.037610383125112716,0.03774664079775303,0.03247138492569719,16029,425,mostly_inside_cosine_support
effective_update_hl64_epslr2_1e-08,sujianlin_update_rms,wsd,995.8802117146154,31621.617581597147,996.0322274002226,33056.86250938485,30625.737369882532,32060.830281984632,0.0,0.055548802722742194,0.055548802722742194,1435.2449277877058,0.04686401213637818,0.03764756109928541,0.03795478976108802,0.032424001575857946,15540,914,moderate_support_mismatch
effective_update_hl512_epslr2_1e-08,sujianlin_update_rms,wsd,995.5587882530413,30419.4903318507,996.0322274002226,31881.15938677592,29423.931543597657,30885.127159375697,0.0,0.0698310441230096,0.0698310441230096,1461.6690549252198,0.049676198191239467,0.03758887968548706,0.038004415158651265,0.03205383145504477,15305,1149,moderate_support_mismatch
softsign_lr_time_hl64_epslr_1e-04,sujianlin_softsign,wsd,909.824507293163,26558.990250180363,909.9999999999931,29561.25299646435,25649.1657428872,28651.252996464358,0.0,0.13796037437705116,0.13796037437705116,3002.2627462839882,0.11705108760180824,0.037534927835440615,0.038119691371289934,0.03388105735416888,14184,2270,moderate_support_mismatch
softsign_lr_time_hl512_epslr_1e-04,sujianlin_softsign,wsd,909.554899598671,25710.788819409645,909.9999999999931,28740.479177814694,24801.233919810973,27830.4791778147,0.0,0.16530934727118027,0.16530934727118027,3029.6903584050488,0.12215885581341834,0.0374050791794393,0.03777254351784841,0.03554965446483974,13734,2720,moderate_support_mismatch
noise_ratio_eps1e-12,sujianlin_noise,wsd,3.936339362604058e-05,0.0009990013310233704,3.223813715929111e-05,0.000999000999000016,0.0009596379373973298,0.000966762861840725,0.2584174061018597,0.0,0.2584174061018597,7.125256466749466e-06,0.007424942459105089,0.03716711577768747,0.03672320481443539,0.038441010785590105,12202,4252,large_support_mismatch
noise_ratio_eps1e-04,sujianlin_noise,wsd,3.936338230810203e-05,0.0009989015118501412,3.223813352334148e-05,0.0009989013083511683,0.0009595381295420392,0.0009666631748278269,0.2584174061018597,0.0,0.2584174061018597,7.125248784760551e-06,0.007425706770153296,0.037167120096923995,0.03672321063878531,0.038441010785590105,12202,4252,large_support_mismatch
noise_ratio_eps1e-02,sujianlin_noise,wsd,3.93622618643897e-05,0.000989117187324339,3.223777356838326e-05,0.000989129457381973,0.0009497549254599494,0.0009568916838135898,0.2584174061018597,6.077549532028686e-05,0.25847818159718,7.124488296006434e-06,0.007501396523483331,0.03716756634674569,0.036723050360039644,0.038442793140491364,12201,4253,large_support_mismatch
noise_ratio_eps1e00,sujianlin_noise,wsd,3.9250538692485196e-05,0.0004996781887069277,3.2201818619976384e-05,0.0004999997502498824,0.0004604276500144425,0.000467797931629906,0.25738422268141486,0.0010939589157651635,0.25847818159718,7.048720072508813e-06,0.015309072060046157,0.0371691786556751,0.03672524137866324,0.03844274524792099,12201,4253,large_support_mismatch
effective_update_hl4096_epslr2_1e-12,sujianlin_update_rms,wsd,1000.3813616143392,23617.06371728337,1000.9994995003926,30080.737084654535,22616.682355669032,29079.737585154144,0.0,0.3126899234228759,0.3126899234228759,6463.673367371164,0.2857922866724526,0.03698996885433907,0.03603864037027127,0.039081042484333785,11309,5145,large_support_mismatch
effective_update_hl4096_epslr2_0,sujianlin_update_rms,wsd,1000.3818618312941,23617.092627012986,1001.0,30080.7525641546,22616.71076518169,29079.7525641546,0.0,0.3126899234228759,0.3126899234228759,6463.659937141616,0.2857913338615263,0.03698997269118298,0.03603864595267729,0.039081042484333785,11309,5145,large_support_mismatch
softsign_lr_time_hl4096_epslr_0,sujianlin_softsign,wsd,1000.3818618312941,23617.092627012986,1001.0,30080.7525641546,22616.71076518169,29079.7525641546,0.0,0.3126899234228759,0.3126899234228759,6463.659937141616,0.2857913338615263,0.03698997269118298,0.03603864595267729,0.039081042484333785,11309,5145,large_support_mismatch
effective_update_hl4096_epslr2_1e-10,sujianlin_update_rms,wsd,1000.3318438497458,23614.20277006994,1000.9499537534106,30079.204735471834,22613.870926220196,29078.254781718424,0.0,0.3127506989181962,0.3127506989181962,6465.001965401894,0.28588656875660734,0.03698953583491655,0.0360390605966003,0.03907814329602812,11308,5146,large_support_mismatch
softsign_lr_time_hl4096_epslr_1e-05,sujianlin_softsign,wsd,990.476832134672,23284.44716256839,991.0891089108799,29779.161801566606,22293.97033043372,28788.072692655725,0.0,0.31572869818889027,0.31572869818889027,6494.714638998215,0.2913215790070473,0.03698677177719671,0.03601712475170078,0.03908826472427251,11259,5195,large_support_mismatch
effective_update_hl4096_epslr2_1e-08,sujianlin_update_rms,wsd,995.4168968478075,23338.537827290584,996.0322274002226,29927.16331964892,22343.120930442776,28931.1310922487,0.0,0.3176735140391394,0.3176735140391394,6588.6254923583365,0.2948838487187908,0.03698650042052821,0.03602548855479673,0.039050644330336365,11227,5227,large_support_mismatch
softsign_lr_time_hl4096_epslr_1e-04,sujianlin_softsign,wsd,909.4358744933388,20714.94117201076,909.9999999999931,27315.129043455923,19805.505297517422,26405.12904345593,0.0,0.3379725294761152,0.3379725294761152,6600.187871445163,0.3332501631388563,0.036953800091533054,0.035819606811107324,0.03917548097692732,10893,5561,large_support_mismatch
softsign_lr_time_hl64_epslr_1e-03,sujianlin_softsign,wsd,500.3018440883115,11029.797808232897,500.5,15306.480932829912,10529.495964144586,14805.980932829912,0.0,0.36003403427737934,0.36003403427737934,4276.683124597015,0.40616218849982266,0.036924839922933106,0.03569616359349752,0.03910883076509324,10530,5924,large_support_mismatch
softsign_lr_time_hl512_epslr_1e-03,sujianlin_softsign,wsd,500.22033014469775,10909.468249599135,500.5,15195.059982596498,10409.247919454438,14694.559982596498,0.0,0.3673878692111341,0.3673878692111341,4285.591732997364,0.4117100261381782,0.03690835306618738,0.03567785036289036,0.03902717897828311,10409,6045,large_support_mismatch
effective_update_hl64_epslr2_1e-06,sujianlin_update_rms,wsd,707.5336109420488,14959.681859904584,707.8138879677391,21467.02274890722,14252.148248962534,20759.20886093948,0.0,0.387504558162149,0.387504558162149,6507.340889002637,0.4565866685730223,0.03685857329120657,0.03557741195904062,0.03888359586108871,10078,6376,large_support_mismatch
effective_update_hl512_epslr2_1e-06,sujianlin_update_rms,wsd,707.4183694516204,14850.677406490644,707.8138879677391,21372.716109862256,14143.259037039024,20664.902221894517,0.0,0.3921842713018111,0.3921842713018111,6522.038703371612,0.4611411476160759,0.03684715816972416,0.03555557160170875,0.03884888717433011,10001,6453,large_support_mismatch
softsign_lr_time_hl4096_epslr_1e-03,sujianlin_softsign,wsd,500.18433138380254,10187.961198458741,500.5,14955.73100885253,9687.77686707494,14455.23100885253,0.0,0.4112070013370609,0.4112070013370609,4767.769810393789,0.49214281829690165,0.03682380360777103,0.035412328529980754,0.03884484566417543,9688,6766,large_support_mismatch
effective_update_hl4096_epslr2_1e-06,sujianlin_update_rms,wsd,707.3674649896109,14209.490634676358,707.8138879677391,21144.73678062414,13502.123169686747,20436.9228926564,0.0,0.4197155706819011,0.4197155706819011,6935.24614594778,0.5136411554530856,0.036811089027391705,0.03535440199098302,0.03882505482867032,9548,6906,large_support_mismatch
s1_raw,control_s1,wsd,1.0003554644952564,18.649300036322675,1.0010000000000006,29.776662124351137,17.648944571827418,28.775662124351136,0.0,0.4636562537984685,0.4636562537984685,11.127362088028462,0.6304831454788974,0.03669824486046892,0.03487213622507841,0.03881063294636764,8825,7629,large_support_mismatch
sqrt_cum_lr2,sujianlin_noise,wsd,0.03161821747443988,0.11700618049446344,0.03163858403911299,0.16906783150951551,0.08538796302002356,0.13742924747040253,0.0,0.6143794821927798,0.6143794821927798,0.05206165101505207,0.6097071434160288,0.03643467901740054,0.03356561301133243,0.03823547274660244,6345,10109,large_support_mismatch
