block_size,replicate,mlp_seed,n_train,n_blocks,train_unique_count,train_unique_fraction,target,feature_set,feature_count,m,hidden,activation,scaler,alpha,learning_rate,batch_size,max_iter,n_iter,loss_curve_final,baseline_validation_mae,baseline_validation_r2,baseline_test_mae,baseline_test_r2,momentum_objective,momentum_L0,momentum_A,momentum_C,momentum_alpha,selection_mode,selected_shrink,candidate_validation_mae_by_shrink,candidate_test_mae_by_shrink,validation_mae,validation_rmse,validation_r2,validation_endpoint_abs_diff,test_mae,test_rmse,test_r2,test_endpoint_abs_diff,test_max_abs_error,validation_improvement_pct,test_improvement_pct
128,5,1588105,32908,258,21164,0.6431262914792756,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,120,0.49842098431383997,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,fixed_shrink_1p0,1.0,"{""0.0"": 0.03582421444985208, ""0.75"": 0.034323463688150375, ""1.0"": 0.034854483283865166, ""1.25"": 0.035872328903963524}","{""0.0"": 0.03784422134219445, ""0.75"": 0.03414743509258215, ""1.0"": 0.0337115303835014, ""1.25"": 0.033708043851588994}",0.034854483283865166,0.04365649464921098,0.9389243053997082,0.023864803837819082,0.0337115303835014,0.04228063974632875,0.9408153539007925,0.004288185624492513,0.18901665465375617,2.7069153668236745,10.920269494580147
128,5,1588105,32908,258,21164,0.6431262914792756,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,120,0.49842098431383997,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,validation_selected,0.75,"{""0.0"": 0.03582421444985208, ""0.75"": 0.034323463688150375, ""1.0"": 0.034854483283865166, ""1.25"": 0.035872328903963524}","{""0.0"": 0.03784422134219445, ""0.75"": 0.03414743509258215, ""1.0"": 0.0337115303835014, ""1.25"": 0.033708043851588994}",0.034323463688150375,0.04296779996926446,0.9408360819531185,0.01505755364819672,0.03414743509258215,0.04283415090144649,0.9392555953751108,0.0023239187483912183,0.18946148983159627,4.189207732112324,9.768429943861914
128,6,1588106,32908,258,20830,0.6329767837607877,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,120,0.49911729922991893,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,fixed_shrink_1p0,1.0,"{""0.0"": 0.03582421444985208, ""0.75"": 0.03477216021265934, ""1.0"": 0.034816067702958434, ""1.25"": 0.03503525455977416}","{""0.0"": 0.03784422134219445, ""0.75"": 0.03552661088643063, ""1.0"": 0.03509412411106499, ""1.25"": 0.034832215214141544}",0.034816067702958434,0.04358559973636563,0.9391225091408245,0.011854305835315326,0.03509412411106499,0.04401842506976402,0.9358502519599182,0.0010499430556625278,0.1924429036988471,2.8141489279684913,7.266888136665766
128,6,1588106,32908,258,20830,0.6329767837607877,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,120,0.49911729922991893,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,validation_selected,0.75,"{""0.0"": 0.03582421444985208, ""0.75"": 0.03477216021265934, ""1.0"": 0.034816067702958434, ""1.25"": 0.03503525455977416}","{""0.0"": 0.03784422134219445, ""0.75"": 0.03552661088643063, ""1.0"": 0.03509412411106499, ""1.25"": 0.034832215214141544}",0.03477216021265934,0.04355823332175153,0.9391989323468426,0.006024534732362863,0.03552661088643063,0.04456079906426757,0.9342596676830388,0.006336558310368723,0.19203119158420723,2.9367126491090034,6.124080172789282
128,7,1588107,32908,258,21700,0.6594141242251125,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,113,0.499130560615711,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,fixed_shrink_1p0,1.0,"{""0.0"": 0.03582421444985208, ""0.75"": 0.035282341302795575, ""1.0"": 0.035163311096696896, ""1.25"": 0.035075753593413715}","{""0.0"": 0.03784422134219445, ""0.75"": 0.036713893853372086, ""1.0"": 0.03641364177511405, ""1.25"": 0.03615216177785441}",0.035163311096696896,0.044097152148906034,0.9376851178790407,0.001970791847490272,0.03641364177511405,0.04564902501018821,0.9310095516410652,0.01070543964249282,0.1922760243967221,1.8448509291957746,3.7801796848846028
128,7,1588107,32908,258,21700,0.6594141242251125,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,113,0.499130560615711,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,validation_selected,1.25,"{""0.0"": 0.03582421444985208, ""0.75"": 0.035282341302795575, ""1.0"": 0.035163311096696896, ""1.25"": 0.035075753593413715}","{""0.0"": 0.03784422134219445, ""0.75"": 0.036713893853372086, ""1.0"": 0.03641364177511405, ""1.25"": 0.03615216177785441}",0.035075753593413715,0.04397603336769736,0.9380269602470404,0.0004167256996128188,0.03615216177785441,0.04532848441936271,0.9319750310852494,0.00782463509411313,0.192646047339049,2.0892596472313003,4.471117397396361
128,8,1588108,32908,258,21153,0.642792026255014,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,91,0.49851195642615187,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,fixed_shrink_1p0,1.0,"{""0.0"": 0.03582421444985208, ""0.75"": 0.03517174294681686, ""1.0"": 0.037580495725862695, ""1.25"": 0.04108611617382831}","{""0.0"": 0.03784422134219445, ""0.75"": 0.03289596883047258, ""1.0"": 0.033164284500119864, ""1.25"": 0.034387044205377935}",0.037580495725862695,0.0470316240654998,0.9291156039829976,0.040295641273933924,0.033164284500119864,0.04141104676654566,0.943224839304557,0.004270946133908993,0.19089661420191106,-4.902497662493385,12.366318227973913
128,8,1588108,32908,258,21153,0.642792026255014,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,91,0.49851195642615187,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,validation_selected,0.75,"{""0.0"": 0.03582421444985208, ""0.75"": 0.03517174294681686, ""1.0"": 0.037580495725862695, ""1.25"": 0.04108611617382831}","{""0.0"": 0.03784422134219445, ""0.75"": 0.03289596883047258, ""1.0"": 0.033164284500119864, ""1.25"": 0.034387044205377935}",0.03517174294681686,0.043993916946691664,0.937976545281377,0.02743189442203775,0.03289596883047258,0.04116336632239638,0.9439019554484847,0.0023368808443371414,0.18996650874577048,1.821314195035792,13.07531859878648
128,9,1588109,32908,258,21410,0.6506016774036708,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,100,0.4987803757424472,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,fixed_shrink_1p0,1.0,"{""0.0"": 0.03582421444985208, ""0.75"": 0.0341540357341192, ""1.0"": 0.03420863962679397, ""1.25"": 0.03455876560962459}","{""0.0"": 0.03784422134219445, ""0.75"": 0.034550127740315385, ""1.0"": 0.03387358541965096, ""1.25"": 0.03341428781515483}",0.03420863962679397,0.0428099339999407,0.9412700260464917,0.014896183444614408,0.03387358541965096,0.04248489510701244,0.9402421373451685,0.005018367673449653,0.1919892973889641,4.509728539392383,10.492053427761846
128,9,1588109,32908,258,21410,0.6506016774036708,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,100,0.4987803757424472,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,validation_selected,0.75,"{""0.0"": 0.03582421444985208, ""0.75"": 0.0341540357341192, ""1.0"": 0.03420863962679397, ""1.25"": 0.03455876560962459}","{""0.0"": 0.03784422134219445, ""0.75"": 0.034550127740315385, ""1.0"": 0.03387358541965096, ""1.25"": 0.03341428781515483}",0.0341540357341192,0.04275922249804426,0.941409083545953,0.008311333922081499,0.034550127740315385,0.04334625481444561,0.9377944528397125,0.00931828344218033,0.19078628140104392,4.662150284051164,8.704350320999504
