model,feature_set,config,split,target_schedule,window,n,mae,rmse,mape,r2,signed_bias,max_abs_error,endpoint_abs_diff,mae_baseline,mae_improvement_vs_momentum,relative_mae_improvement_pct,step_reference_mae,mae_gap_vs_step_reference
momentum_baseline,none,none,test,wsd,steps_30000_33906,1954,0.033630779184426494,0.04225317405807368,0.01263279591642764,-0.029384434072413423,0.011870626781285157,0.1463478837697627,0.04566822982802332,0.033630779184426494,0.0,0.0,0.0087620255154218,0.024868753669004692
momentum_baseline,none,none,test,wsd,last_2048_sampled,2048,0.033818500438614396,0.042537748476090195,0.01269955594350467,-0.03152059913986127,0.012689153799092266,0.16124220174539472,0.04566822982802332,0.033818500438614396,0.0,0.0,0.0095572702144961,0.024261230224118295
mean_shift,constant_residual,train_residual_mean,train,cosine,full,16454,0.03234888126477143,0.04041277392378641,0.011489806378807609,0.9531124808471275,-0.0003052575666962122,0.17707267000123572,0.04200308508815764,0.03233900437067206,-9.87689409936987e-06,-0.030541738348404856,,
mean_shift,constant_residual,train_residual_mean,train,cosine,steps_27126_33906,3391,0.03167237761898184,0.03984614685353734,0.01185170020580392,0.04371881372707476,0.0018036514757926734,0.13786869585977923,0.04200308508815764,0.03168541521772093,1.3037598739093492e-05,0.041147002964953605,,
mean_shift,constant_residual,train_residual_mean,train,cosine,steps_30000_33906,1954,0.03172892810157702,0.039932653970974,0.011912307112757654,-0.003747465167139863,0.0038340164753540495,0.13786869585977923,0.04200308508815764,0.03176104292493659,3.211482335956778e-05,0.10111388166776294,,
mean_shift,constant_residual,train_residual_mean,train,cosine,last_2048_sampled,2048,0.03163677192379522,0.039850874368446636,0.011876721838800721,-0.002514415067891962,0.003787528255565914,0.13786869585977923,0.04200308508815764,0.03166922450913761,3.245258534238793e-05,0.10247357125219247,,
mean_shift,constant_residual,train_residual_mean,validation,811,full,16454,0.035623719571470536,0.044708034449939996,0.01259227099945552,0.9361991473359976,0.01246926374506923,0.1825842997464533,0.05903011950497561,0.035786677452969595,0.00016295788149905954,0.45535906962365186,0.0164473637600758,0.019176355811394735
mean_shift,constant_residual,train_residual_mean,validation,811,steps_27126_33906,3391,0.03529634951352737,0.04449956565522719,0.013148101248479614,0.03575539794615379,0.005710184377534093,0.162608514562391,0.05903011950497561,0.035358896851653436,6.254733812606494e-05,0.1768927870925366,0.0151542069521842,0.02014214256134317
mean_shift,constant_residual,train_residual_mean,validation,811,steps_30000_33906,1954,0.03262427853904143,0.04058104411969898,0.012201586978204181,0.021378988134163168,-0.0051803838515706285,0.1483149945702742,0.05903011950497561,0.03254554010472091,-7.873843432051886e-05,-0.24193310071722365,0.0100502184846781,0.02257406005436333
mean_shift,constant_residual,train_residual_mean,validation,811,last_2048_sampled,2048,0.03249137425343066,0.04046332052068169,0.012148864953135618,0.03576787151438776,-0.004902127287469313,0.1483149945702742,0.05903011950497561,0.032416249889189584,-7.51243642410776e-05,-0.23174909034166424,0.0097109073051012,0.022780466948329463
