feature_set_family,feature_columns,scale,beta,ridge_alpha,shrink,coef,feature_set,validation_mae,validation_rmse,validation_r2,validation_endpoint_abs_diff,test_mae,test_rmse,test_r2,test_endpoint_abs_diff
mpl_proxy,sat_s2;sat_drop_times_sat_tail,2.0,1.0,0.01,1.25,0.000137081876568;-0.016990354431;0.0252480623094,mpl_proxy_scale2_beta1_ridge0.01_shrink1.25,0.03709149437025079,0.04633957809429838,0.931457572743934,0.08751723420332835,0.03739073784328846,0.04682000018628847,0.9277230730883439,0.0691361067431484
hybrid_decay_progress,sat_s2;sat_drop_times_sat_tail;sat_s2_times_progress,5.0,1.0,1.0,0.75,-0.000182536275697;-0.0240241563741;0.0321528088649;-0.00351987915571,hybrid_decay_progress_scale5_beta1_ridge1_shrink0.75,0.03710929066888493,0.0463292383978919,0.9314881569163131,0.08891933290597454,0.0369697917018102,0.04631091267945546,0.9292863040782282,0.068361460749788
mpl_proxy,sat_s2;sat_drop_times_sat_tail,2.0,1.0,0.0001,1.25,0.000144055896136;-0.0172021177833;0.02555504737,mpl_proxy_scale2_beta1_ridge0.0001_shrink1.25,0.03712684316824975,0.04638175151470809,0.9313327557252606,0.08786387349666924,0.03740156977660253,0.046831553277763026,0.927687399232389,0.06941386143431227
mpl_proxy,sat_s2;sat_drop_times_sat_tail,2.0,1.0,1e-06,1.25,0.000144126499854;-0.0172042616324;0.0255581552237,mpl_proxy_scale2_beta1_ridge1e-06_shrink1.25,0.037127203128033,0.046382180730749005,0.9313314848280592,0.08786738256773274,0.0374016811616941,0.046831671406971864,0.9276870344253094,0.06941667321633815
hybrid_decay_progress,sat_s2;sat_drop_times_sat_tail;sat_s2_times_progress,0.5,0.5,0.0001,0.25,0.000533895889915;-0.203864536018;1.58747749477;-0.10606545128,hybrid_decay_progress_scale0.5_beta0.5_ridge0.0001_shrink0.25,0.03720609598951335,0.046521803257163215,0.9309174421019559,0.09159803220342821,0.03759350698739719,0.047055662061808695,0.926993650513507,0.0745666113284913
mpl_proxy,sat_s2;sat_drop_times_sat_tail,1.0,2.0,0.01,1.25,0.000128876545273;-0.0155341434307;0.0205462647182,mpl_proxy_scale1_beta2_ridge0.01_shrink1.25,0.03721233896790178,0.046486949670240925,0.931020915004109,0.08900764482859413,0.037420356343748226,0.04684813798528369,0.9276361732702273,0.0706233062609436
hybrid_decay_progress,sat_s2;sat_drop_times_sat_tail;sat_s2_times_progress,0.5,2.0,1.0,1.25,-0.000628648440143;-0.0109300524238;0.0395934679147;-0.0125780753818,hybrid_decay_progress_scale0.5_beta2_ridge1_shrink1.25,0.03723965198480955,0.04656675650923296,0.9307838709240958,0.09780917120523469,0.03689919163727595,0.046183681509386766,0.9296743174826486,0.07982004665796572
mpl_proxy,sat_s2;sat_drop_times_sat_tail,1.0,2.0,0.0001,1.25,0.000133930305145;-0.0156744183444;0.0207271108447,mpl_proxy_scale1_beta2_ridge0.0001_shrink1.25,0.03723968753734816,0.04651995220705206,0.9309229394268023,0.0892718205027605,0.03742915696066031,0.04685757304968324,0.9276070226509144,0.07083760677377438
mpl_proxy,sat_s2;sat_drop_times_sat_tail,1.0,2.0,1e-06,1.25,0.000133981296458;-0.0156758336846;0.0207289355385,mpl_proxy_scale1_beta2_ridge1e-06_shrink1.25,0.03723996422745357,0.04652028646417237,0.9309219467524248,0.08927448583606168,0.03742924638277087,0.04685766892132974,0.9276067264152974,0.07083976892552712
hybrid_decay_progress,sat_s2;sat_drop_times_sat_tail;sat_s2_times_progress,0.5,0.5,1e-06,0.25,0.000574611522776;-0.209955810642;1.62880574474;-0.107991327735,hybrid_decay_progress_scale0.5_beta0.5_ridge1e-06_shrink0.25,0.037276848870973996,0.04660864973470815,0.9306592759789598,0.09243445970840414,0.03761652494619369,0.04707975999059577,0.9269188560162418,0.07529114772338197
hybrid_decay_progress,sat_s2;sat_drop_times_sat_tail;sat_s2_times_progress,0.5,0.5,0.01,1.0,-0.000584126663479;-0.0363438512025;0.450264390162;-0.0529756385561,hybrid_decay_progress_scale0.5_beta0.5_ridge0.01_shrink1,0.03731553928466758,0.04667719016610119,0.9304551877820942,0.09863688784534075,0.03712258013111739,0.04646100848170973,0.9288271885800016,0.0810139328680699
sat_s2_tail,sat_s2;sat_tail,2.0,2.0,1.0,1.0,0.00170281287458;0.00365043899982;-0.00554759141143,sat_s2_tail_scale2_beta2_ridge1_shrink1,0.03734373496940752,0.046882980733596175,0.9298406171541169,0.04899060286352297,0.03986713225427606,0.04981996189366983,0.9181641422627831,0.038611877871784106
sat_s2_tail,sat_s2;sat_tail,2.0,2.0,0.01,1.0,0.00173386044606;0.00370415027525;-0.0056321122861,sat_s2_tail_scale2_beta2_ridge0.01_shrink1,0.03737754430102027,0.04692467753756378,0.9297157648988328,0.04883876582569213,0.039909745412361364,0.04986959039142634,0.918001018349444,0.03849509404929785
sat_s2_tail,sat_s2;sat_tail,2.0,2.0,0.0001,1.0,0.00173417565932;0.00370469556402;-0.00563297037591,sat_s2_tail_scale2_beta2_ridge0.0001_shrink1,0.037377888958521954,0.046925101992424265,0.9297144933879053,0.0488372242779298,0.03991017865854352,0.04987009495561024,0.9179993590633647,0.03849390839383249
