method,correction,feature_set,schedule,window,n,mae,rmse,mape,r2
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_ratio_s0.5_shrink0.5,wsd,full,16454,0.05294917184582158,0.1163021801189466,0.017693142507382735,0.5540228906875146
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_ratio_s0.5_shrink0.5,wsd,steps_20000_30000,5001,0.04547252685879456,0.05621370825020309,0.016529373199607664,-0.3775555248573892
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_ratio_s0.5_shrink0.75,cosine,full,16454,0.01520194799451243,0.018337354721436105,0.0053938784564624385,0.9903463109878363
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_ratio_s0.5_shrink0.75,cosine,steps_20000_30000,5001,0.014690181932974028,0.017576421150375405,0.005419912960349303,0.8511738167067705
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_ratio_s0.5_shrink0.75,wsd,full,16454,0.055952839408661866,0.11822269234985862,0.018738827339970624,0.539172330287451
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_ratio_s0.5_shrink0.75,wsd,steps_20000_30000,5001,0.048488198705047544,0.06006193642762883,0.017608502536920183,-0.572618216885509
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_ratio_s0.5_shrink1,cosine,full,16454,0.012227782128034773,0.015575010666769192,0.004332618475042971,0.9930357133654883
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_ratio_s0.5_shrink1,cosine,steps_20000_30000,5001,0.011554348661229816,0.01471576478048677,0.004262629160980093,0.8956760268799212
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_ratio_s0.5_shrink1,wsd,full,16454,0.05978475931372925,0.1206246728415668,0.020079363741773618,0.5202564399620897
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_ratio_s0.5_shrink1,wsd,steps_20000_30000,5001,0.052386257544961456,0.06499834009979073,0.01900478261855945,-0.8417436201278166
