family,target_schedule,window,n,mae_baseline,mae_corrected,mae_improvement,relative_improvement_pct,rmse_baseline,rmse_corrected,r2_corrected,endpoint_abs_diff,step_mae,step_rmse,mae_gap_vs_step,rmse_gap_vs_step,verdict
s1_raw,811,steps_10000_20000,5001,0.03551849144556949,0.09596517578519537,-0.06044668433962588,-170.18370397925747,0.044601484086257574,0.1831030809878847,-15.498423077216149,0.4502532124606198,0.03258259973054149,0.04093486290091378,0.06338257605465387,0.14216821808697092,fails_vs_momentum
step_abs,811,steps_10000_20000,5001,0.03551849144556949,0.03258259973054149,0.002935891715027998,8.265811963121019,0.044601484086257574,0.04093486290091378,0.17541047684735256,0.02002948535525695,0.03258259973054149,0.04093486290091378,0.0,0.0,step_reference
s1_clamp,811,steps_1000_10000,4501,0.03298292621219918,0.032904203331354395,7.872288084478235e-05,0.23867767322495975,0.04127588320393162,0.041110849027154416,0.9621380739411997,0.0008663823489034606,0.029468260134667114,0.03677650573491314,0.0034359431966872814,0.004334343292241277,helps_but_weaker_than_step
s1_ratio,811,steps_1000_10000,4501,0.03298292621219918,0.05812386111799342,-0.025140934905794242,-76.22408862102577,0.04127588320393162,0.12132402099050091,0.670251064618626,0.0011994221654987314,0.029468260134667114,0.03677650573491314,0.028655600983326306,0.08454751525558776,fails_vs_momentum
s1_raw,811,steps_1000_10000,4501,0.03298292621219918,0.032904203331354395,7.872288084478235e-05,0.23867767322495975,0.04127588320393162,0.041110849027154416,0.9621380739411997,0.0008663823489034606,0.029468260134667114,0.03677650573491314,0.0034359431966872814,0.004334343292241277,helps_but_weaker_than_step
step_abs,811,steps_1000_10000,4501,0.03298292621219918,0.029468260134667114,0.0035146660775320637,10.656016555111224,0.04127588320393162,0.03677650573491314,0.9697008296337574,0.0012822098554474692,0.029468260134667114,0.03677650573491314,0.0,0.0,step_reference
s1_clamp,811,steps_27126_33906,3391,0.035358896851653436,0.03594385805386396,-0.0005849612022105211,-1.6543536543707738,0.044598670242173316,0.045434269418024635,-0.005177526784392761,0.05414377848965923,0.032739427565394864,0.041595821508437276,0.0032044304884690927,0.0038384479095873586,fails_vs_momentum
s1_ratio,811,steps_27126_33906,3391,0.035358896851653436,0.035905530693371115,-0.0005466338417176794,-1.5459584160983744,0.044598670242173316,0.045202994368805156,0.005029781711482384,0.054143778489648575,0.032739427565394864,0.041595821508437276,0.003166103127976251,0.00360717286036788,fails_vs_momentum
s1_raw,811,steps_27126_33906,3391,0.035358896851653436,0.44246247432045227,-0.4071035774687988,-1151.346941554151,0.044598670242173316,0.44497197315593756,-95.41419674369139,0.37081523573330877,0.032739427565394864,0.041595821508437276,0.4097230467550574,0.4033761516475003,fails_vs_momentum
step_abs,811,steps_27126_33906,3391,0.035358896851653436,0.032739427565394864,0.0026194692862585717,7.408232494493338,0.044598670242173316,0.041595821508437276,0.15748996150196348,0.03687140497267105,0.032739427565394864,0.041595821508437276,0.0,0.0,step_reference
s1_clamp,811,steps_30000_33906,1954,0.03254554010472091,0.032293142706660845,0.0002523973980600655,0.7755206926907133,0.040499253337113385,0.04025378653983324,0.03709912596828202,0.05414377848965923,0.029974388841321694,0.037563914484310845,0.002318753865339151,0.002689872055522395,helps_but_weaker_than_step
s1_ratio,811,steps_30000_33906,1954,0.03254554010472091,0.03302076027425169,-0.0004752201695307767,-1.46016986659823,0.040499253337113385,0.040966054400107865,0.0027216818243022134,0.054143778489648575,0.029974388841321694,0.037563914484310845,0.003046371432929993,0.00340213991579702,fails_vs_momentum
s1_raw,811,steps_30000_33906,1954,0.03254554010472091,0.4271630692842396,-0.39461752917951864,-1212.5087735823968,0.040499253337113385,0.42909409150933947,-108.41406951162078,0.37081523573330877,0.029974388841321694,0.037563914484310845,0.3971886804429179,0.3915301770250286,fails_vs_momentum
step_abs,811,steps_30000_33906,1954,0.03254554010472091,0.029974388841321694,0.0025711512633992163,7.900164677329341,0.040499253337113385,0.037563914484310845,0.1614870219516802,0.03687140497267105,0.029974388841321694,0.037563914484310845,0.0,0.0,step_reference
s1_clamp,wsd,full,16454,0.03772038950173981,0.038880869750113026,-0.0011604802483732163,-3.0765330467218277,0.04727466039406645,0.04865935782173531,0.9219326202821054,0.04145842749505091,0.0351801883052973,0.04399643153904394,0.0037006814448157233,0.004662926282691375,fails_vs_momentum
s1_ratio,wsd,full,16454,0.03772038950173981,0.04560631831763487,-0.00788592881589506,-20.906276207808858,0.04727466039406645,0.07913215118202732,0.7935367303506264,0.04145842749504025,0.0351801883052973,0.04399643153904394,0.010426130012337567,0.035135719642983385,fails_vs_momentum
s1_raw,wsd,full,16454,0.03772038950173981,0.24087264785006188,-0.20315225834832207,-538.5741267039458,0.04727466039406645,0.3290824591474685,-2.5706421281635268,0.3844874006747272,0.0351801883052973,0.04399643153904394,0.20569245954476456,0.28508602760842455,fails_vs_momentum
