residual_target,family,selected_config,selected_on,target_schedule,window,mae,rmse,r2,endpoint_abs_diff,step_mae,mae_gap_vs_step
roll501,s1_raw,interp_log_residual_roll501_shrink1_clip0.15,811:full,wsd,last_2048_sampled,0.033058288006031715,0.04151397713794327,0.017533861847383814,0.04961961143450555,0.03339952963771633,-0.0003412416316846134
roll501,s1_clamp,interp_log_residual_roll501_shrink1_clip0.15,811:full,811,full,0.035185829841645824,0.04412319834752861,0.9378574171395201,0.062286054930550616,0.035883808570165404,-0.0006979787285195799
roll501,s1_clamp,interp_log_residual_roll501_shrink1_clip0.15,811:full,811,steps_27126_33906,0.035115523819606274,0.04417662036271203,0.049700176963060616,0.062286054930550616,0.03562433743892139,-0.0005088136193151169
roll501,s1_clamp,interp_log_residual_roll501_shrink1_clip0.15,811:full,811,last_2048_sampled,0.03296580355848792,0.04098686748191054,0.010654426405478756,0.062286054930550616,0.032723809256403544,0.00024199430208437372
roll501,s1_clamp,interp_log_residual_roll501_shrink1_clip0.15,811:full,wsd,full,0.03669824486046892,0.04603467005611069,0.9301273964080242,0.04961961143450555,0.03770097488324909,-0.001002730022780167
roll501,s1_clamp,interp_log_residual_roll501_shrink1_clip0.15,811:full,wsd,steps_27126_33906,0.03719612728918435,0.046793673087418025,0.22756496303836293,0.04961961143450555,0.03852942824220211,-0.0013333009530177575
roll501,s1_clamp,interp_log_residual_roll501_shrink1_clip0.15,811:full,wsd,last_2048_sampled,0.033058288006031715,0.04151397713794327,0.017533861847383814,0.04961961143450555,0.03339952963771633,-0.0003412416316846134
roll501,s1_ratio,interp_log_residual_roll501_shrink0.5_clip0.15,811:full,811,full,0.03580007487734331,0.04492967006272767,0.9355650066760209,0.06031567443610353,0.035883808570165404,-8.373369282209386e-05
roll501,s1_ratio,interp_log_residual_roll501_shrink0.5_clip0.15,811:full,811,steps_27126_33906,0.03559753801259743,0.04484050643826446,0.020923356678203442,0.06031567443610353,0.03562433743892139,-2.6799426323963205e-05
roll501,s1_ratio,interp_log_residual_roll501_shrink0.5_clip0.15,811:full,811,last_2048_sampled,0.032735988788028754,0.040715298176931244,0.023721333673972445,0.06031567443610353,0.032723809256403544,1.2179531625210183e-05
roll501,s1_ratio,interp_log_residual_roll501_shrink0.5_clip0.15,811:full,wsd,full,0.03760640062267413,0.04715267054846212,0.9266923250012464,0.04764465544245189,0.03770097488324909,-9.457426057495749e-05
roll501,s1_ratio,interp_log_residual_roll501_shrink0.5_clip0.15,811:full,wsd,steps_27126_33906,0.0385388804069279,0.048404037365304214,0.17348475878509606,0.04764465544245189,0.03852942824220211,9.452164725788637e-06
roll501,s1_ratio,interp_log_residual_roll501_shrink0.5_clip0.15,811:full,wsd,last_2048_sampled,0.033431857285458486,0.042027534584720444,-0.006924100270517597,0.04764465544245189,0.03339952963771633,3.2327647742157184e-05
